AverageReturn	EpLenMean
8.338843	8.338842975206612
5.427027	5.427027027027027
4.3608694	4.360869565217391
3.9101562	3.91015625
3.5441697	3.5441696113074204
3.3966103	3.3966101694915256
3.1608832	3.1608832807570977
2.9940298	2.994029850746269
2.672	2.672
2.480198	2.48019801980198
2.3117783	2.3117782909930717
2.164147	2.16414686825054
2.0574949	2.0574948665297743
2.0222223	2.022222222222222
2.0	2.0
2.002	2.002
2.0	2.0
2.0	2.0
2.0	2.0
2.0	2.0
2.0	2.0
2.0	2.0
2.0	2.0
2.0	2.0
2.0	2.0
2.0	2.0
1.9960159	1.99601593625498
1.9960159	1.99601593625498
1.9861112	1.9861111111111112
1.9589041	1.9589041095890412
1.9013283	1.9013282732447818
1.7199312	1.7199312714776633
1.5189681	1.5189681335356602
1.2192448	1.2192448233861144
1.0694444	1.0694444444444444
1.0121335	1.012133468149646
1.001	1.001
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
