TimeStep	MeanReturn	BestMeanReturn	Episodes	Exploration	LearningRate	Time
60000	-20.67	-20.4	203	0.194	0.0001	1.715518053372701
70000	-20.72	-20.4	240	0.193	0.0001	2.1022064010302226
80000	-20.79	-20.4	276	0.192	0.0001	2.4758878509203592
90000	-20.74	-20.4	312	0.191	0.0001	2.8638626178105673
100000	-20.7	-20.4	348	0.19	0.0001	3.2669761419296264
110000	-20.72	-20.4	384	0.189	0.0001	3.6639643708864846
120000	-20.8	-20.4	422	0.188	0.0001	4.060271807511648
130000	-20.79	-20.4	459	0.187	0.0001	4.4556609431902565
140000	-20.71	-20.4	495	0.186	0.0001	4.829917367299398
150000	-20.66	-20.4	529	0.185	0.0001	5.22662992477417
160000	-20.58	-20.4	564	0.184	0.0001	5.623756015300751
170000	-20.52	-20.4	598	0.183	0.0001	6.022406582037608
180000	-20.48	-20.4	629	0.18200000000000002	0.0001	6.418505291144053
190000	-20.43	-20.4	660	0.181	0.0001	6.816152656078339
200000	-20.41	-20.4	693	0.18	0.0001	7.21739665667216
210000	-20.38	-20.36	724	0.17900000000000002	0.0001	7.606242231527964
220000	-20.25	-20.25	754	0.17800000000000002	0.0001	8.008134802182516
230000	-20.09	-20.07	784	0.17700000000000002	0.0001	8.405787229537964
240000	-19.92	-19.91	813	0.17600000000000002	0.0001	8.802500979105632
250000	-20.03	-19.91	842	0.17500000000000002	0.0001	9.197247131665547
260000	-20.04	-19.91	871	0.17400000000000002	0.0001	9.589890456199646
270000	-20.19	-19.91	902	0.17300000000000001	0.0001	9.978474338849386
280000	-20.14	-19.91	929	0.17200000000000001	0.0001	10.35110586086909
290000	-20.21	-19.91	958	0.171	0.0001	10.72524335384369
300000	-20.2	-19.91	985	0.17	0.0001	11.120160814126333
310000	-20.13	-19.91	1011	0.169	0.0001	11.527196554342906
320000	-20.2	-19.91	1038	0.168	0.0001	11.921820271015168
330000	-20.17	-19.91	1064	0.167	0.0001	12.316806598504384
340000	-20.1	-19.91	1090	0.166	0.0001	12.69979118903478
350000	-20.09	-19.91	1115	0.165	0.0001	13.072650206089019
360000	-19.91	-19.91	1138	0.164	0.0001	13.445635573069255
370000	-19.76	-19.76	1161	0.163	0.0001	13.819155510266622
380000	-19.61	-19.61	1183	0.162	0.0001	14.191634428501128
390000	-19.43	-19.43	1204	0.161	0.0001	14.563472727934519
400000	-19.29	-19.29	1227	0.16	0.0001	14.95371568997701
410000	-19.44	-19.27	1251	0.159	0.0001	15.351021818319957
420000	-19.48	-19.27	1273	0.158	0.0001	15.746641401449839
430000	-19.69	-19.27	1297	0.157	0.0001	16.143233410517375
440000	-19.7	-19.27	1318	0.156	0.0001	16.53771232366562
450000	-19.73	-19.27	1341	0.155	0.0001	16.93489500681559
460000	-19.62	-19.27	1362	0.154	0.0001	17.33184582789739
470000	-19.48	-19.27	1382	0.15300000000000002	0.0001	17.725837874412537
480000	-19.31	-19.27	1403	0.15200000000000002	0.0001	18.121139069398243
490000	-19.36	-19.27	1423	0.15100000000000002	0.0001	18.514934166272482
500000	-19.32	-19.27	1444	0.15000000000000002	0.0001	18.913417236010233
510000	-19.39	-19.27	1464	0.14900000000000002	0.0001	19.308519744873045
520000	-19.5	-19.27	1485	0.14800000000000002	0.0001	19.706149518489838
530000	-19.59	-19.27	1505	0.14700000000000002	0.0001	20.10408460299174
540000	-19.79	-19.27	1527	0.14600000000000002	0.0001	20.499682370821635
550000	-19.79	-19.27	1547	0.14500000000000002	0.0001	20.895826896031696
560000	-19.81	-19.27	1567	0.14400000000000002	0.0001	21.268626809120178
570000	-19.76	-19.27	1587	0.14300000000000002	0.0001	21.64177479346593
580000	-19.63	-19.27	1606	0.14200000000000002	0.0001	22.014073781172435
590000	-19.48	-19.27	1624	0.14100000000000001	0.0001	22.399193020661674
600000	-19.44	-19.27	1642	0.14	0.0001	22.776879199345906
610000	-19.35	-19.27	1662	0.139	0.0001	23.16193037033081
620000	-19.23	-19.22	1681	0.138	0.0001	23.556164344151814
630000	-19.37	-19.22	1700	0.137	0.0001	23.9531650185585
640000	-19.35	-19.22	1719	0.136	0.0001	24.34933940966924
650000	-19.3	-19.22	1737	0.135	0.0001	24.745987419287363
660000	-19.23	-19.22	1756	0.134	0.0001	25.142833876609803
670000	-19.2	-19.15	1775	0.133	0.0001	25.540361281236013
680000	-19.19	-19.15	1793	0.132	0.0001	25.93730686903
690000	-19.13	-19.08	1812	0.131	0.0001	26.333112732569376
700000	-19.06	-19.06	1830	0.13	0.0001	26.730502645174663
710000	-18.98	-18.94	1848	0.129	0.0001	27.12600124279658
720000	-19.06	-18.94	1866	0.128	0.0001	27.519030916690827
730000	-18.98	-18.94	1884	0.127	0.0001	27.893597630659738
740000	-19.05	-18.94	1903	0.126	0.0001	28.267689037323
750000	-19.1	-18.94	1922	0.125	0.0001	28.64131804704666
760000	-19.12	-18.94	1939	0.124	0.0001	29.014818120002747
770000	-19.12	-18.94	1958	0.123	0.0001	29.388632122675578
780000	-19.11	-18.94	1975	0.122	0.0001	29.762091672420503
790000	-19.13	-18.94	1994	0.121	0.0001	30.155141421159108
800000	-19.07	-18.94	2012	0.12	0.0001	30.551054608821868
810000	-18.99	-18.9	2027	0.119	0.0001	30.934479089577994
820000	-18.95	-18.9	2045	0.11800000000000001	0.0001	31.330870938301086
830000	-18.94	-18.9	2064	0.117	0.0001	31.713862136999765
840000	-18.97	-18.9	2082	0.116	0.0001	32.111139782269795
850000	-18.79	-18.79	2098	0.115	0.0001	32.507010404268904
860000	-18.81	-18.73	2117	0.114	0.0001	32.89012025992076
870000	-18.98	-18.73	2135	0.113	0.0001	33.264894870917004
880000	-18.89	-18.73	2152	0.112	0.0001	33.639546581109364
890000	-18.85	-18.73	2170	0.111	0.0001	34.01904841264089
900000	-18.87	-18.73	2189	0.11	0.0001	34.416176096598306
910000	-18.89	-18.73	2206	0.109	0.0001	34.79149111111959
920000	-18.78	-18.73	2223	0.108	0.0001	35.16557902097702
930000	-18.88	-18.73	2241	0.107	0.0001	35.5551754117012
940000	-18.86	-18.73	2258	0.10600000000000001	0.0001	35.9534499168396
950000	-18.78	-18.73	2275	0.10500000000000001	0.0001	36.34956514437993
960000	-18.65	-18.65	2291	0.10400000000000001	0.0001	36.7475520769755
970000	-18.67	-18.6	2308	0.10300000000000001	0.0001	37.14722125927607
980000	-18.6	-18.6	2325	0.10200000000000001	0.0001	37.545836186409
990000	-18.52	-18.52	2341	0.101	0.0001	37.943370465437575
1000000	-18.53	-18.43	2359	0.1	0.0001	38.34175208409627
1010000	-18.55	-18.43	2377	0.099775	9.9875e-05	38.73942060470581
1020000	-18.54	-18.43	2393	0.09955	9.975e-05	39.13537728389104
1030000	-18.57	-18.43	2410	0.09932500000000001	9.962500000000001e-05	39.53420007626216
1040000	-18.65	-18.43	2428	0.09910000000000001	9.95e-05	39.93158630927404
1050000	-18.58	-18.43	2444	0.098875	9.9375e-05	40.32913062969843
1060000	-18.61	-18.43	2459	0.09865	9.925e-05	40.72557541529338
1070000	-18.63	-18.43	2476	0.098425	9.912500000000001e-05	41.12461599111557
1080000	-18.65	-18.43	2493	0.09820000000000001	9.900000000000001e-05	41.52424561580022
1090000	-18.63	-18.43	2509	0.097975	9.8875e-05	41.90174412329991
1100000	-18.57	-18.43	2525	0.09775	9.875e-05	42.2761457880338
1110000	-18.6	-18.43	2541	0.097525	9.8625e-05	42.65530216693878
1120000	-18.57	-18.43	2557	0.09730000000000001	9.850000000000001e-05	43.0300332903862
1130000	-18.38	-18.38	2573	0.09707500000000001	9.8375e-05	43.40453970034917
1140000	-18.38	-18.38	2589	0.09685	9.825e-05	43.792071131865185
1150000	-18.3	-18.27	2605	0.096625	9.8125e-05	44.19069932699203
1160000	-18.2	-18.17	2622	0.0964	9.800000000000001e-05	44.58779262304306
1170000	-18.02	-18.02	2638	0.09617500000000001	9.787500000000001e-05	44.98557445605596
1180000	-18.07	-17.99	2653	0.09595000000000001	9.775e-05	45.376558140913644
1190000	-18.16	-17.99	2670	0.095725	9.7625e-05	45.76996507644653
1200000	-17.91	-17.91	2684	0.0955	9.75e-05	46.16538121700287
1210000	-17.74	-17.74	2699	0.095275	9.737500000000001e-05	46.5578563729922
1220000	-17.65	-17.65	2714	0.09505000000000001	9.725e-05	46.95697199106216
1230000	-17.77	-17.63	2730	0.094825	9.7125e-05	47.35493024984996
1240000	-17.63	-17.58	2744	0.0946	9.7e-05	47.75256944497426
1250000	-17.61	-17.55	2759	0.094375	9.687500000000001e-05	48.152119938532515
1260000	-17.46	-17.44	2773	0.09415000000000001	9.675000000000001e-05	48.54204692443212
1270000	-17.88	-17.42	2790	0.09392500000000001	9.6625e-05	48.9374541481336
1280000	-17.9	-17.42	2805	0.0937	9.65e-05	49.33781777620315
1290000	-18.04	-17.42	2822	0.093475	9.6375e-05	49.73849633932114
1300000	-17.98	-17.42	2837	0.09325	9.625000000000001e-05	50.13664693037669
1310000	-17.96	-17.42	2852	0.09302500000000001	9.6125e-05	50.533963004748024
1320000	-17.94	-17.42	2867	0.09280000000000001	9.6e-05	50.93007028102875
1330000	-17.83	-17.42	2882	0.092575	9.5875e-05	51.32661939462026
1340000	-17.54	-17.42	2898	0.09235	9.575000000000001e-05	51.72362234989802
1350000	-17.57	-17.42	2913	0.09212500000000001	9.562500000000001e-05	52.12186329762141
1360000	-17.47	-17.42	2928	0.09190000000000001	9.55e-05	52.52045905987422
1370000	-17.6	-17.42	2944	0.091675	9.5375e-05	52.91834096908569
1380000	-17.65	-17.42	2958	0.09145	9.525000000000001e-05	53.31465348800023
1390000	-17.58	-17.42	2972	0.091225	9.512500000000001e-05	53.71106777191162
1400000	-17.77	-17.42	2987	0.091	9.5e-05	54.10819582144419
1410000	-17.68	-17.42	3002	0.09077500000000001	9.4875e-05	54.51800184647242
1420000	-17.73	-17.42	3017	0.09055	9.475e-05	54.892608018716174
1430000	-17.8	-17.42	3033	0.090325	9.462500000000001e-05	55.26701241334279
1440000	-17.72	-17.42	3048	0.0901	9.45e-05	55.64073232809702
1450000	-17.8	-17.42	3063	0.08987500000000001	9.4375e-05	56.0201843937238
1460000	-17.84	-17.42	3078	0.08965000000000001	9.425e-05	56.39451488256454
1470000	-17.55	-17.42	3091	0.089425	9.412500000000001e-05	56.78388059536616
1480000	-17.61	-17.42	3105	0.0892	9.400000000000001e-05	57.1816978375117
1490000	-17.44	-17.42	3119	0.088975	9.3875e-05	57.57981780767441
1500000	-17.29	-17.29	3135	0.08875000000000001	9.375e-05	57.97624002695083
1510000	-17.26	-17.23	3149	0.088525	9.3625e-05	58.373402599493666
1520000	-17.09	-17.06	3164	0.0883	9.350000000000001e-05	58.76932435035705
1530000	-17.03	-17.03	3179	0.088075	9.3375e-05	59.14413160483043
1540000	-17.32	-17.01	3192	0.08785	9.325e-05	59.51811703840892
1550000	-17.21	-17.01	3206	0.08762500000000001	9.3125e-05	59.89279859066009
1560000	-17.35	-17.01	3221	0.0874	9.300000000000001e-05	60.267751614252724
1570000	-17.43	-17.01	3234	0.087175	9.287500000000001e-05	60.64336897532145
1580000	-17.7	-17.01	3250	0.08695	9.275e-05	61.03074542284012
1590000	-17.64	-17.01	3263	0.08672500000000001	9.2625e-05	61.42957086165746
1600000	-17.55	-17.01	3277	0.08650000000000001	9.25e-05	61.804338709513345
1610000	-17.58	-17.01	3292	0.086275	9.237500000000001e-05	62.17906075318654
1620000	-17.7	-17.01	3305	0.08605	9.225e-05	62.56955773830414
1630000	-17.8	-17.01	3321	0.085825	9.2125e-05	62.96885542472204
1640000	-17.72	-17.01	3334	0.08560000000000001	9.2e-05	63.36707340478897
1650000	-17.59	-17.01	3348	0.085375	9.1875e-05	63.765101460615796
1660000	-17.58	-17.01	3363	0.08515	9.175000000000001e-05	64.16386443376541
1670000	-17.46	-17.01	3377	0.084925	9.1625e-05	64.56071050564448
1680000	-17.39	-17.01	3391	0.0847	9.15e-05	64.95731428464254
1690000	-17.41	-17.01	3405	0.08447500000000001	9.137500000000001e-05	65.35692552328109
1700000	-17.18	-17.01	3418	0.08425	9.125000000000001e-05	65.75419751803081
1710000	-17.16	-17.01	3433	0.084025	9.1125e-05	66.15090602238973
1720000	-17.22	-17.01	3446	0.0838	9.1e-05	66.54821085135141
1730000	-17.07	-16.98	3459	0.08357500000000001	9.0875e-05	66.9471539179484
1740000	-17.06	-16.96	3473	0.08335000000000001	9.075000000000001e-05	67.34175547361374
1750000	-17.01	-16.96	3486	0.083125	9.062500000000001e-05	67.74061929782232
1760000	-17.06	-16.96	3501	0.0829	9.05e-05	68.14157204230627
1770000	-17.21	-16.96	3515	0.082675	9.0375e-05	68.54034471909205
1780000	-17.04	-16.96	3529	0.08245	9.025e-05	68.93950908184051
1790000	-16.95	-16.9	3543	0.082225	9.012500000000001e-05	69.338469906648
1800000	-17.21	-16.9	3556	0.082	9e-05	69.73820392688116
1810000	-17.36	-16.9	3570	0.081775	8.9875e-05	70.13766975402832
1820000	-17.26	-16.9	3584	0.08155000000000001	8.975e-05	70.53462337255478
1830000	-17.15	-16.9	3597	0.08132500000000001	8.962500000000001e-05	70.93009877602259
1840000	-17.04	-16.9	3611	0.0811	8.950000000000001e-05	71.32488215764364
1850000	-17.06	-16.9	3624	0.080875	8.9375e-05	71.72224530378978
1860000	-17.0	-16.9	3637	0.08065	8.925e-05	72.12114876111349
1870000	-16.9	-16.9	3651	0.080425	8.912500000000001e-05	72.5200452486674
1880000	-16.98	-16.82	3666	0.08020000000000001	8.900000000000001e-05	72.91962267160416
1890000	-16.89	-16.82	3679	0.079975	8.8875e-05	73.29516748189926
1900000	-16.97	-16.82	3693	0.07975	8.875e-05	73.67039257685343
1910000	-17.08	-16.82	3706	0.079525	8.8625e-05	74.05921463569005
1920000	-17.09	-16.82	3720	0.07930000000000001	8.850000000000001e-05	74.45819805860519
1930000	-17.16	-16.82	3733	0.079075	8.837500000000001e-05	74.85680828889211
1940000	-17.11	-16.82	3747	0.07885	8.825e-05	75.25471767187119
1950000	-17.16	-16.82	3761	0.078625	8.8125e-05	75.64917906125386
1960000	-17.0	-16.82	3775	0.0784	8.8e-05	76.04867328008017
1970000	-16.81	-16.77	3787	0.07817500000000001	8.787500000000001e-05	76.44676765998204
1980000	-16.86	-16.75	3801	0.07795	8.775e-05	76.84509640137354
1990000	-16.68	-16.67	3814	0.077725	8.7625e-05	77.24337129592895
2000000	-16.58	-16.55	3827	0.0775	8.75e-05	77.62108352184296
2010000	-16.67	-16.55	3841	0.07727500000000001	8.737500000000001e-05	77.99699695507685
2020000	-16.67	-16.55	3855	0.07705000000000001	8.725e-05	78.3723012804985
2030000	-16.6	-16.51	3869	0.076825	8.7125e-05	78.74798724651336
2040000	-16.86	-16.51	3883	0.0766	8.7e-05	79.12330634593964
2050000	-16.8	-16.51	3896	0.076375	8.687500000000001e-05	79.49846039215724
2060000	-16.93	-16.51	3911	0.07615	8.675000000000001e-05	79.87407280604045
2070000	-16.95	-16.51	3924	0.075925	8.6625e-05	80.24866354862849
2080000	-16.94	-16.51	3938	0.0757	8.65e-05	80.64393589893977
2090000	-17.08	-16.51	3951	0.075475	8.6375e-05	81.04079727729162
2100000	-17.13	-16.51	3964	0.07525	8.625000000000001e-05	81.43985213041306
2110000	-17.15	-16.51	3978	0.07502500000000001	8.6125e-05	81.83936812877656
2120000	-17.19	-16.51	3992	0.0748	8.6e-05	82.23772287368774
2130000	-17.13	-16.51	4005	0.074575	8.5875e-05	82.65724589824677
2140000	-17.1	-16.51	4019	0.07435	8.575000000000001e-05	83.05058764616648
2150000	-17.09	-16.51	4032	0.074125	8.562500000000001e-05	83.44852532148361
2160000	-17.1	-16.51	4046	0.07390000000000001	8.55e-05	83.8464108467102
2170000	-17.03	-16.51	4059	0.073675	8.5375e-05	84.2409278512001
2180000	-17.02	-16.51	4073	0.07345	8.525000000000001e-05	84.64040230115255
2190000	-17.05	-16.51	4086	0.073225	8.512500000000001e-05	85.03527965943019
2200000	-17.14	-16.51	4099	0.07300000000000001	8.5e-05	85.41245859861374
2210000	-17.25	-16.51	4114	0.072775	8.4875e-05	85.7885513305664
2220000	-17.21	-16.51	4128	0.07255	8.475e-05	86.17188308238983
2230000	-17.11	-16.51	4140	0.072325	8.462500000000001e-05	86.5711343606313
2240000	-17.01	-16.51	4153	0.0721	8.450000000000001e-05	86.97177158196767
2250000	-17.01	-16.51	4168	0.071875	8.4375e-05	87.36986675262452
2260000	-17.02	-16.51	4182	0.07165	8.425e-05	87.7681659022967
2270000	-16.97	-16.51	4195	0.071425	8.4125e-05	88.16538373231887
2280000	-16.94	-16.51	4208	0.0712	8.400000000000001e-05	88.56300773620606
2290000	-16.91	-16.51	4223	0.070975	8.3875e-05	88.96111455758412
2300000	-16.81	-16.51	4235	0.07075000000000001	8.375e-05	89.36118727525076
2310000	-16.88	-16.51	4248	0.070525	8.3625e-05	89.76090238491695
2320000	-16.94	-16.51	4262	0.0703	8.35e-05	90.16204755306244
2330000	-16.94	-16.51	4275	0.070075	8.337500000000001e-05	90.56374855836232
2340000	-16.94	-16.51	4289	0.06985	8.325e-05	90.96328149239223
2350000	-16.96	-16.51	4301	0.06962499999999999	8.3125e-05	91.36070981820424
2360000	-16.76	-16.51	4314	0.0694	8.3e-05	91.75415285031
2370000	-16.89	-16.51	4328	0.069175	8.2875e-05	92.13138435681661
2380000	-16.81	-16.51	4340	0.06895000000000001	8.275e-05	92.50748525857925
2390000	-16.8	-16.51	4353	0.06872500000000001	8.2625e-05	92.88400781154633
2400000	-16.76	-16.51	4366	0.0685	8.25e-05	93.26061675945918
2410000	-16.87	-16.51	4380	0.068275	8.237500000000001e-05	93.63713306188583
2420000	-16.75	-16.51	4393	0.06805	8.225000000000001e-05	94.01346515417099
2430000	-16.78	-16.51	4407	0.067825	8.2125e-05	94.38989740610123
2440000	-16.61	-16.51	4420	0.0676	8.2e-05	94.76691847244898
2450000	-16.34	-16.34	4432	0.067375	8.1875e-05	95.14330855607986
2460000	-16.46	-16.32	4446	0.06715	8.175000000000001e-05	95.51991308530172
2470000	-16.37	-16.31	4459	0.06692500000000001	8.1625e-05	95.89718234141668
2480000	-16.16	-16.16	4472	0.06670000000000001	8.15e-05	96.27380415598552
2490000	-15.91	-15.9	4485	0.066475	8.1375e-05	96.65066426197687
2500000	-15.8	-15.79	4497	0.06625	8.125e-05	97.02648257017135
2510000	-15.64	-15.63	4510	0.066025	8.112500000000001e-05	97.40902472337088
2520000	-15.78	-15.59	4523	0.0658	8.1e-05	97.81031171878179
2530000	-15.67	-15.59	4536	0.065575	8.0875e-05	98.20972814559937
2540000	-15.32	-15.32	4548	0.06534999999999999	8.075000000000001e-05	98.60898053646088
2550000	-15.33	-15.32	4562	0.065125	8.062500000000001e-05	99.01051985820135
2560000	-15.51	-15.32	4575	0.0649	8.05e-05	99.40371444225312
2570000	-15.56	-15.32	4588	0.06467500000000001	8.0375e-05	99.8039070447286
2580000	-15.91	-15.32	4601	0.06445000000000001	8.025e-05	100.2028185248375
2590000	-16.17	-15.32	4615	0.064225	8.012500000000001e-05	100.60384791294733
2600000	-16.0	-15.32	4626	0.064	8e-05	101.00415174563726
2610000	-16.0	-15.32	4639	0.063775	7.9875e-05	101.40473234653473
2620000	-16.26	-15.32	4651	0.06355	7.975e-05	101.80628270705542
2630000	-16.21	-15.32	4664	0.063325	7.9625e-05	102.20571534633636
2640000	-16.16	-15.32	4677	0.0631	7.950000000000001e-05	102.60405578613282
2650000	-16.14	-15.32	4690	0.062875	7.9375e-05	102.9801986972491
2660000	-15.86	-15.32	4702	0.06265000000000001	7.925e-05	103.37916853030522
2670000	-15.61	-15.32	4714	0.062425	7.912500000000001e-05	103.77681775093079
2680000	-16.11	-15.32	4727	0.062200000000000005	7.900000000000001e-05	104.1774998108546
2690000	-16.01	-15.32	4739	0.061975	7.8875e-05	104.55308543841043
2700000	-15.94	-15.32	4751	0.06175	7.875e-05	104.94882208903631
2710000	-16.0	-15.32	4764	0.061525	7.8625e-05	105.34863347212473
2720000	-16.13	-15.32	4778	0.0613	7.850000000000001e-05	105.7503488222758
2730000	-16.25	-15.32	4792	0.061075000000000004	7.837500000000001e-05	106.14947465658187
2740000	-16.43	-15.32	4805	0.06085	7.825e-05	106.54973671833675
2750000	-16.49	-15.32	4818	0.060625	7.8125e-05	106.94844182729722
2760000	-16.39	-15.32	4830	0.0604	7.8e-05	107.3482122818629
2770000	-16.56	-15.32	4843	0.060175	7.787500000000001e-05	107.7464096625646
2780000	-16.75	-15.32	4857	0.05995	7.775e-05	108.13269476890564
2790000	-16.85	-15.32	4869	0.059725	7.7625e-05	108.50856321255365
2800000	-16.7	-15.32	4882	0.0595	7.75e-05	108.8840895096461
2810000	-16.69	-15.32	4895	0.059275	7.7375e-05	109.25965489546458
2820000	-16.85	-15.32	4908	0.05905	7.725000000000001e-05	109.63568809429805
2830000	-16.73	-15.32	4921	0.058825	7.7125e-05	110.01787980000178
2840000	-16.62	-15.32	4935	0.0586	7.7e-05	110.40764875809352
2850000	-16.58	-15.32	4948	0.058374999999999996	7.6875e-05	110.785697499911
